draw,key,area,balanced_accuracy,accuracy,n_audit,stat,audit_estimate,full_estimate,unsafe_full,flag_audit,flag_ba
0,selection|Qwen/Qwen2.5-7B-Instruct|a,selection,0.8518,0.97,300,delta_pp:1,2.5304,-0.401,False,True,False
0,selection|allenai/OLMo-2-1124-7B-Instruct|a,selection,0.841,0.95,300,delta_pp:1,-0.012,-0.8898,False,False,False
0,selection|ibm-granite/granite-3.3-8b-instruct|a,selection,0.863,0.95,300,delta_pp:1,5.1643,0.9105,False,True,False
0,selection|microsoft/Phi-3.5-mini-instruct|a,selection,0.8743,0.93,300,delta_pp:1,5.1036,1.8188,True,True,False
0,selection|Qwen/Qwen2.5-7B-Instruct|b,selection,0.8994,0.9767,300,delta_pp:1,2.3654,-0.5102,False,True,False
0,selection|allenai/OLMo-2-1124-7B-Instruct|b,selection,0.8541,0.9333,300,delta_pp:1,-0.6847,0.3366,False,False,False
0,selection|ibm-granite/granite-3.3-8b-instruct|b,selection,0.8833,0.9467,300,delta_pp:1,7.0481,1.8088,True,True,False
0,selection|microsoft/Phi-3.5-mini-instruct|b,selection,0.8451,0.9167,300,delta_pp:1,5.2347,2.3681,True,True,False
0,selection|Qwen/Qwen2.5-7B-Instruct|c,selection,0.85,0.9667,300,delta_pp:1,3.1973,-0.384,False,True,False
0,selection|allenai/OLMo-2-1124-7B-Instruct|c,selection,0.7791,0.9167,300,delta_pp:1,4.1138,1.2233,True,True,True
0,selection|ibm-granite/granite-3.3-8b-instruct|c,selection,0.8226,0.9567,300,delta_pp:1,3.9813,1.1876,True,True,False
0,selection|microsoft/Phi-3.5-mini-instruct|c,selection,0.8344,0.8967,300,delta_pp:1,9.2363,3.7391,True,True,False
1,selection|Qwen/Qwen2.5-7B-Instruct|a,selection,0.91,0.9867,300,delta_pp:1,1.96,-0.401,False,True,False
1,selection|allenai/OLMo-2-1124-7B-Instruct|a,selection,0.887,0.9433,300,delta_pp:1,-1.0377,-0.8898,False,True,False
1,selection|ibm-granite/granite-3.3-8b-instruct|a,selection,0.9529,0.9633,300,delta_pp:1,3.7923,0.9105,False,True,False
1,selection|microsoft/Phi-3.5-mini-instruct|a,selection,0.9529,0.9633,300,delta_pp:1,2.4724,1.8188,True,True,False
1,selection|Qwen/Qwen2.5-7B-Instruct|b,selection,0.9688,0.9933,300,delta_pp:1,0.3884,-0.5102,False,False,False
1,selection|allenai/OLMo-2-1124-7B-Instruct|b,selection,0.9147,0.9433,300,delta_pp:1,-2.5476,0.3366,False,True,False
1,selection|ibm-granite/granite-3.3-8b-instruct|b,selection,0.92,0.9533,300,delta_pp:1,5.9967,1.8088,True,True,False
1,selection|microsoft/Phi-3.5-mini-instruct|b,selection,0.9147,0.9433,300,delta_pp:1,2.7318,2.3681,True,True,False
1,selection|Qwen/Qwen2.5-7B-Instruct|c,selection,0.9118,0.99,300,delta_pp:1,1.2884,-0.384,False,True,False
1,selection|allenai/OLMo-2-1124-7B-Instruct|c,selection,0.797,0.93,300,delta_pp:1,0.8227,1.2233,True,False,True
1,selection|ibm-granite/granite-3.3-8b-instruct|c,selection,0.8906,0.95,300,delta_pp:1,5.5384,1.1876,True,True,False
1,selection|microsoft/Phi-3.5-mini-instruct|c,selection,0.9023,0.92,300,delta_pp:1,6.1125,3.7391,True,True,False
2,selection|Qwen/Qwen2.5-7B-Instruct|a,selection,0.9479,0.9767,300,delta_pp:1,-1.4433,-0.401,False,True,False
2,selection|allenai/OLMo-2-1124-7B-Instruct|a,selection,0.6302,0.9033,300,delta_pp:1,-2.9499,-0.8898,False,True,True
2,selection|ibm-granite/granite-3.3-8b-instruct|a,selection,0.8993,0.96,300,delta_pp:1,-1.7274,0.9105,False,True,False
2,selection|microsoft/Phi-3.5-mini-instruct|a,selection,0.8889,0.94,300,delta_pp:1,-0.3256,1.8188,True,False,False
2,selection|Qwen/Qwen2.5-7B-Instruct|b,selection,0.9479,0.9767,300,delta_pp:1,-1.4433,-0.5102,False,True,False
2,selection|allenai/OLMo-2-1124-7B-Instruct|b,selection,0.7552,0.9133,300,delta_pp:1,-0.6136,0.3366,False,False,True
2,selection|ibm-granite/granite-3.3-8b-instruct|b,selection,0.9306,0.9433,300,delta_pp:1,1.3331,1.8088,True,True,False
2,selection|microsoft/Phi-3.5-mini-instruct|b,selection,0.875,0.9133,300,delta_pp:1,-2.8562,2.3681,True,True,False
2,selection|Qwen/Qwen2.5-7B-Instruct|c,selection,0.9462,0.9733,300,delta_pp:1,-2.0896,-0.384,False,True,False
2,selection|allenai/OLMo-2-1124-7B-Instruct|c,selection,0.6389,0.92,300,delta_pp:1,0.2817,1.2233,True,False,True
2,selection|ibm-granite/granite-3.3-8b-instruct|c,selection,0.9427,0.9667,300,delta_pp:1,-3.3822,1.1876,True,True,False
2,selection|microsoft/Phi-3.5-mini-instruct|c,selection,0.8507,0.8667,300,delta_pp:1,-0.0252,3.7391,True,False,False
3,selection|Qwen/Qwen2.5-7B-Instruct|a,selection,0.9175,0.9833,300,delta_pp:1,-0.9888,-0.401,False,False,False
3,selection|allenai/OLMo-2-1124-7B-Instruct|a,selection,0.7891,0.9267,300,delta_pp:1,0.7881,-0.8898,False,False,True
3,selection|ibm-granite/granite-3.3-8b-instruct|a,selection,0.8542,0.9567,300,delta_pp:1,2.1639,0.9105,False,True,False
3,selection|microsoft/Phi-3.5-mini-instruct|a,selection,0.8698,0.94,300,delta_pp:1,1.3571,1.8188,True,True,False
3,selection|Qwen/Qwen2.5-7B-Instruct|b,selection,0.8894,0.9767,300,delta_pp:1,0.5177,-0.5102,False,False,False
3,selection|allenai/OLMo-2-1124-7B-Instruct|b,selection,0.868,0.9367,300,delta_pp:1,0.7135,0.3366,False,False,False
3,selection|ibm-granite/granite-3.3-8b-instruct|b,selection,0.8154,0.93,300,delta_pp:1,3.8428,1.8088,True,True,False
3,selection|microsoft/Phi-3.5-mini-instruct|b,selection,0.8645,0.93,300,delta_pp:1,0.7462,2.3681,True,False,False
3,selection|Qwen/Qwen2.5-7B-Instruct|c,selection,0.8631,0.9733,300,delta_pp:1,1.3478,-0.384,False,True,False
3,selection|allenai/OLMo-2-1124-7B-Instruct|c,selection,0.7998,0.9467,300,delta_pp:1,1.9354,1.2233,True,True,True
3,selection|ibm-granite/granite-3.3-8b-instruct|c,selection,0.856,0.96,300,delta_pp:1,1.4877,1.1876,True,True,False
3,selection|microsoft/Phi-3.5-mini-instruct|c,selection,0.8783,0.91,300,delta_pp:1,3.3298,3.7391,True,True,False
4,selection|Qwen/Qwen2.5-7B-Instruct|a,selection,0.9039,0.9833,300,delta_pp:1,-0.51,-0.401,False,False,False
4,selection|allenai/OLMo-2-1124-7B-Instruct|a,selection,0.9303,0.95,300,delta_pp:1,-3.1226,-0.8898,False,True,False
4,selection|ibm-granite/granite-3.3-8b-instruct|a,selection,0.9372,0.9633,300,delta_pp:1,0.8282,0.9105,False,False,False
4,selection|microsoft/Phi-3.5-mini-instruct|a,selection,0.9303,0.95,300,delta_pp:1,2.0586,1.8188,True,True,False
4,selection|Qwen/Qwen2.5-7B-Instruct|b,selection,0.9056,0.9867,300,delta_pp:1,0.1477,-0.5102,False,False,False
4,selection|allenai/OLMo-2-1124-7B-Instruct|b,selection,0.9269,0.9433,300,delta_pp:1,0.8418,0.3366,False,False,False
4,selection|ibm-granite/granite-3.3-8b-instruct|b,selection,0.9758,0.9533,300,delta_pp:1,4.0408,1.8088,True,True,False
4,selection|microsoft/Phi-3.5-mini-instruct|b,selection,0.9671,0.9367,300,delta_pp:1,2.0723,2.3681,True,True,False
4,selection|Qwen/Qwen2.5-7B-Instruct|c,selection,0.8584,0.98,300,delta_pp:1,0.2463,-0.384,False,False,False
4,selection|allenai/OLMo-2-1124-7B-Instruct|c,selection,0.8814,0.94,300,delta_pp:1,0.1795,1.2233,True,False,False
4,selection|ibm-granite/granite-3.3-8b-instruct|c,selection,0.8849,0.9467,300,delta_pp:1,4.0362,1.1876,True,True,False
4,selection|microsoft/Phi-3.5-mini-instruct|c,selection,0.9429,0.89,300,delta_pp:1,0.7841,3.7391,True,False,False
5,selection|Qwen/Qwen2.5-7B-Instruct|a,selection,0.8519,0.9767,300,delta_pp:1,0.66,-0.401,False,False,False
5,selection|allenai/OLMo-2-1124-7B-Instruct|a,selection,0.783,0.91,300,delta_pp:1,2.0189,-0.8898,False,True,True
5,selection|ibm-granite/granite-3.3-8b-instruct|a,selection,0.9808,0.9633,300,delta_pp:1,0.66,0.9105,False,False,False
5,selection|microsoft/Phi-3.5-mini-instruct|a,selection,0.8309,0.9367,300,delta_pp:1,6.0178,1.8188,True,True,False
5,selection|Qwen/Qwen2.5-7B-Instruct|b,selection,0.8501,0.9733,300,delta_pp:1,1.3199,-0.5102,False,True,False
5,selection|allenai/OLMo-2-1124-7B-Instruct|b,selection,0.8222,0.92,300,delta_pp:1,2.718,0.3366,False,True,False
5,selection|ibm-granite/granite-3.3-8b-instruct|b,selection,0.9076,0.9533,300,delta_pp:1,3.9597,1.8088,True,True,False
5,selection|microsoft/Phi-3.5-mini-instruct|b,selection,0.783,0.91,300,delta_pp:1,5.9787,2.3681,True,True,True
5,selection|Qwen/Qwen2.5-7B-Instruct|c,selection,0.8501,0.9733,300,delta_pp:1,1.3199,-0.384,False,True,False
5,selection|allenai/OLMo-2-1124-7B-Instruct|c,selection,0.7882,0.92,300,delta_pp:1,1.4372,1.2233,True,True,True
5,selection|ibm-granite/granite-3.3-8b-instruct|c,selection,0.8754,0.9567,300,delta_pp:1,3.2607,1.1876,True,True,False
5,selection|microsoft/Phi-3.5-mini-instruct|c,selection,0.8099,0.8967,300,delta_pp:1,6.0178,3.7391,True,True,False
6,selection|Qwen/Qwen2.5-7B-Instruct|a,selection,0.7675,0.9733,300,delta_pp:1,0.2949,-0.401,False,False,True
6,selection|allenai/OLMo-2-1124-7B-Instruct|a,selection,0.8658,0.91,300,delta_pp:1,-6.1466,-0.8898,False,True,False
6,selection|ibm-granite/granite-3.3-8b-instruct|a,selection,0.8901,0.9567,300,delta_pp:1,0.2944,0.9105,False,False,False
6,selection|microsoft/Phi-3.5-mini-instruct|a,selection,0.8342,0.9333,300,delta_pp:1,2.6375,1.8188,True,True,False
6,selection|Qwen/Qwen2.5-7B-Instruct|b,selection,0.7658,0.97,300,delta_pp:1,-1.5395,-0.5102,False,True,True
6,selection|allenai/OLMo-2-1124-7B-Instruct|b,selection,0.8779,0.9333,300,delta_pp:1,1.0337,0.3366,False,True,False
6,selection|ibm-granite/granite-3.3-8b-instruct|b,selection,0.8342,0.9333,300,delta_pp:1,-0.0024,1.8088,True,False,False
6,selection|microsoft/Phi-3.5-mini-instruct|b,selection,0.8676,0.9133,300,delta_pp:1,2.4217,2.3681,True,True,False
6,selection|Qwen/Qwen2.5-7B-Instruct|c,selection,0.8987,0.9733,300,delta_pp:1,0.8977,-0.384,False,False,False
6,selection|allenai/OLMo-2-1124-7B-Instruct|c,selection,0.836,0.9367,300,delta_pp:1,4.4719,1.2233,True,True,False
6,selection|ibm-granite/granite-3.3-8b-instruct|c,selection,0.7992,0.95,300,delta_pp:1,0.7504,1.1876,True,False,True
6,selection|microsoft/Phi-3.5-mini-instruct|c,selection,0.8399,0.86,300,delta_pp:1,2.6032,3.7391,True,True,False
7,selection|Qwen/Qwen2.5-7B-Instruct|a,selection,0.8409,0.9767,300,delta_pp:1,0.4449,-0.401,False,False,False
7,selection|allenai/OLMo-2-1124-7B-Instruct|a,selection,0.7344,0.9133,300,delta_pp:1,-0.3362,-0.8898,False,False,True
7,selection|ibm-granite/granite-3.3-8b-instruct|a,selection,0.9144,0.9767,300,delta_pp:1,-0.7127,0.9105,False,False,False
7,selection|microsoft/Phi-3.5-mini-instruct|a,selection,0.8987,0.9467,300,delta_pp:1,7.7617,1.8188,True,True,False
7,selection|Qwen/Qwen2.5-7B-Instruct|b,selection,0.9161,0.98,300,delta_pp:1,1.185,-0.5102,False,True,False
7,selection|allenai/OLMo-2-1124-7B-Instruct|b,selection,0.8183,0.9333,300,delta_pp:1,-0.1602,0.3366,False,False,False
